Temps (h);Q (mW/g)
0,03;10,4
0,19;3,787878788
0,36;1,225490196
0,53;0,420875421
0,69;0
0,86;0
1,03;0
1,19;0
1,36;0,408496732
1,53;0,420875421
1,69;0
1,86;0,408496732
2,03;0,420875421
2,19;0
2,36;0,408496732
2,53;0,420875421
2,69;0
2,86;0,408496732
3,03;0,420875421
3,19;0,420875421
3,36;0,816993464
3,53;0,420875421
3,69;0,420875421
3,86;0,816993464
4,03;0,420875421
4,19;0,420875421
4,36;0,816993464
4,53;0,841750842
4,69;0,841750842
4,86;1,225490196
5,03;1,262626263
5,19;0,841750842
5,36;1,225490196
5,53;1,262626263
5,69;1,262626263
5,86;1,633986928
6,03;1,683501684
6,19;1,262626263
6,36;1,225490196
6,53;1,262626263
6,69;1,262626263
6,86;1,225490196
7,03;1,262626263
7,19;1,683501684
7,36;1,225490196
7,53;0,841750842
7,69;0,841750842
7,86;1,225490196
8,03;1,262626263
8,19;0,841750842
8,36;0,816993464
8,53;1,262626263
8,69;1,683501684
8,86;1,225490196
9,03;0,841750842
9,19;1,262626263
9,36;1,225490196
9,53;0,841750842
9,69;0,841750842
9,86;0,816993464
10,03;0,841750842
10,19;1,262626263
10,36;1,225490196
10,53;0,841750842
10,69;0,841750842
10,86;1,225490196
11,03;1,262626263
11,19;0,841750842
11,36;0,816993464
11,53;0,841750842
11,69;0,841750842
11,86;1,225490196
12,03;1,225490196
12,2;0,841750842
12,36;0,841750842
12,53;0,816993464
12,7;0,841750842
12,86;0,841750842
13,03;0,816993464
13,2;0,841750842
13,36;0,841750842
13,53;1,225490196
13,7;1,262626263
13,86;0,841750842
14,03;0,816993464
14,2;0,841750842
14,36;0,841750842
14,53;0,408496732
14,7;0,841750842
14,86;1,262626263
15,03;0,816993464
15,2;0,841750842
15,36;0,420875421
15,53;0,408496732
15,7;1,262626263
15,86;0,841750842
16,03;0,408496732
16,2;1,262626263
16,36;0,841750842
16,53;0,408496732
16,7;0,841750842
16,86;0,841750842
17,03;0,816993464
17,2;0,420875421
17,36;0,841750842
17,53;0,816993464
17,7;0,841750842
17,86;0,841750842
18,03;0,408496732
18,2;0,841750842
18,36;0,420875421
18,53;0,408496732
18,7;0,841750842
18,86;0,841750842
19,03;0,816993464
19,2;0,420875421
19,36;0,420875421
19,53;0,816993464
19,7;0,420875421
19,86;0,420875421
20,03;1,225490196
20,2;0,841750842
20,36;0,420875421
20,53;0,408496732
20,7;0,420875421
20,86;0,841750842
21,03;0,816993464
21,2;0,841750842
21,36;0,420875421
21,53;0,408496732
21,7;0,420875421
21,86;0,420875421
22,03;0,408496732
22,2;0,841750842
22,36;1,262626263
22,53;0,408496732
22,7;0,420875421
22,86;0,841750842
23,03;0,408496732
23,2;0,420875421
23,36;0,420875421
23,53;0,408496732
23,7;0,420875421
23,86;0,420875421
24,03;0,816993464
24,2;0,420875421
24,36;0,420875421
24,53;0,816993464
24,7;0,841750842
24,86;0,420875421
25,03;0,408496732
25,2;0,420875421
25,36;0,420875421
25,53;0,408496732
25,7;0,420875421
25,86;0,841750842
26,03;0,408496732
26,2;0,420875421
26,36;0,420875421
26,53;0,408496732
26,7;0,420875421
